,RDP_10398,RDP_5224,RDP_1017,RDP_92,RDP_12
CC11CM0,3.52104,3.02461,2.01612,0.866728,0.24768099999999998
CC11CM1,3.53484,2.95072,2.18432,0.83886,0.217677
CC11CM10,3.51104,3.05156,2.18018,0.878181,0.245779
CC11CM11,3.44639,2.9348799999999997,2.17424,0.900507,0.23703400000000002
CC11CM12,3.5725300000000004,3.0232799999999997,2.22683,0.908349,0.24866799999999997
CC11CM13,3.5772,3.07019,2.1775700000000002,0.862057,0.228992
CC11CM14,3.42242,2.9208,2.1570400000000003,0.836132,0.229922
CC11CM15,3.4279300000000004,2.96055,2.08905,0.8679879999999999,0.20522800000000002
CC11CM16,3.3029800000000002,2.79358,2.04162,0.830277,0.213024
CC11CM17,3.52966,3.00335,2.22939,0.845216,0.22694099999999998
CC11CM18,3.45961,3.01051,2.10699,0.8575799999999999,0.210521
CC11CM19,3.5145,3.03939,2.26111,0.879448,0.251267
CC11CM2,3.3631699999999998,2.86013,2.02162,0.869733,0.243896
CC11CM20,3.3718800000000004,3.00156,2.1370400000000003,0.871919,0.22631700000000002
CC11CM21,3.4005199999999998,2.9502099999999998,2.09863,0.8483149999999999,0.224185
CC11CM22,3.5612800000000004,3.09218,2.24034,0.8477450000000001,0.223018
CC11CM23,3.6257800000000002,3.15347,2.31397,0.9020030000000001,0.261133
CC11CM24,3.48187,2.9121,2.0727900000000004,0.836074,0.23585
CC11CM25,3.3531400000000002,2.96433,2.13947,0.849799,0.219496
CC11CM26,3.5190699999999997,3.02047,2.20076,0.89654,0.22764099999999998
CC11CM27,3.5419099999999997,3.05586,2.1913099999999996,0.894135,0.24475500000000003
CC11CM28,3.50145,2.9889,2.1822,0.886843,0.22799
CC11CM29,3.32484,2.86248,2.11765,0.838894,0.23091799999999998
CC11CM3,3.51643,3.00732,2.20913,0.8642559999999999,0.23424299999999998
CC11CM30,3.5554699999999997,3.08853,2.21045,0.851249,0.21203400000000003
CC11CM31,3.59116,3.07226,2.12716,0.880649,0.238683
CC11CM32,3.45729,2.95548,2.1093,0.8807940000000001,0.21051599999999998
CC11CM33,3.30019,2.8591900000000003,2.05785,0.8735360000000001,0.224109
CC11CM34,3.62049,3.09135,2.23995,0.901659,0.24991300000000002
CC11CM35,3.66815,3.09228,2.23962,0.8460989999999999,0.254076
CC11CM36,3.2420400000000003,2.8737,2.03715,0.816148,0.230751
CC11CM37,3.58954,3.02449,2.25641,0.8779100000000001,0.24042399999999997
CC11CM38,3.28134,2.88726,2.02956,0.84534,0.221317
CC11CM39,3.5024599999999997,3.0878,2.24737,0.855973,0.23035999999999998
CC11CM4,3.4332199999999995,3.05337,2.20913,0.8895129999999999,0.21986399999999998
CC11CM40,3.5076699999999996,3.02617,2.1270700000000002,0.853834,0.24374899999999997
CC11CM41,3.6406400000000003,3.15076,2.21181,0.8685450000000001,0.23583800000000002
CC11CM42,3.5191,3.00298,2.18452,0.8973559999999999,0.2289
CC11CM43,3.6074599999999997,3.12712,2.18152,0.9248049999999999,0.237742
CC11CM44,3.54106,3.06619,2.19066,0.869813,0.24029299999999998
CC11CM45,3.3325199999999997,2.76072,2.01573,0.820794,0.19725299999999998
CC11CM46,3.4417800000000005,2.9710400000000003,2.11665,0.871397,0.20636300000000002
CC11CM47,3.3469900000000004,2.89759,2.00248,0.8388709999999999,0.216042
CC11CM48,3.44958,3.03146,2.1026599999999998,0.8739809999999999,0.22577399999999997
CC11CM49,3.4220699999999997,3.03293,2.15848,0.8951680000000001,0.258785
CC11CM5,3.41338,2.9476299999999998,2.1236099999999998,0.891134,0.24543
CC11CM50,3.33796,2.8326,2.05903,0.808936,0.226973
CC11CM51,3.3605400000000003,2.8531,2.06557,0.874173,0.228739
CC11CM52,3.48989,2.9889900000000003,2.17406,0.862951,0.237102
CC11CM53,3.6163800000000004,3.06707,2.27472,0.866605,0.243668
CC11CM54,3.49767,2.98239,2.17733,0.863202,0.239662
CC11CM55,3.4422,2.9478299999999997,2.1514900000000003,0.786871,0.21267399999999997
CC11CM56,3.4308199999999998,2.95256,2.1552700000000002,0.8854569999999999,0.22344699999999998
CC11CM57,3.41529,2.9335299999999997,2.01152,0.835784,0.23098000000000002
CC11CM58,3.65504,3.07566,2.23437,0.8726809999999999,0.222493
CC11CM59,3.71696,3.20824,2.30567,0.9017209999999999,0.238997
CC11CM6,3.25407,2.7801400000000003,1.9037,0.8213010000000001,0.22112600000000002
CC11CM60,3.4883599999999997,2.99539,2.10146,0.837515,0.216656
CC11CM61,3.3926,2.88405,2.08524,0.8780110000000001,0.213233
CC11CM62,3.36835,2.90073,2.09449,0.84414,0.205556
CC11CM63,3.4468099999999997,2.90813,2.00914,0.7939890000000001,0.21881399999999998
CC11CM64,3.61257,3.14042,2.27313,0.845327,0.252692
CC11CM65,3.19885,2.75523,2.02775,0.796084,0.195357
CC11CM66,3.53841,3.03979,2.1280200000000002,0.81571,0.235315
CC11CM67,3.60816,3.06806,2.1245700000000003,0.8498629999999999,0.23324899999999998
CC11CM68,3.2289999999999996,2.75009,2.03167,0.7914220000000001,0.199223
CC11CM69,3.4462300000000003,2.86919,2.08691,0.834024,0.219133
CC11CM7,3.4867,2.94813,2.17435,0.8556159999999999,0.22260100000000002
CC11CM70,3.3170300000000004,2.8125299999999998,2.0320099999999996,0.764568,0.212371
CC11CM71,3.25585,2.7994,2.03133,0.8359059999999999,0.222289
CC11CM72,3.4702900000000003,3.01876,2.10544,0.828775,0.23011199999999998
CC11CM73,3.50408,3.09714,2.28044,0.867518,0.253975
CC11CM74,3.33848,2.78309,2.10825,0.8634620000000001,0.23388499999999998
CC11CM75,3.5333900000000003,3.06029,2.22499,0.8875549999999999,0.256452
CC11CM76,3.4491099999999997,2.9781,2.2241,0.852784,0.22555799999999998
CC11CM77,3.7473,3.21382,2.2688900000000003,0.8728229999999999,0.23557600000000004
CC11CM78,3.3867199999999995,2.85676,2.08515,0.758957,0.20654899999999998
CC11CM79,3.3449199999999997,2.88437,2.00095,0.800879,0.22244099999999997
CC11CM8,3.4853400000000003,2.94568,2.1808400000000003,0.8895790000000001,0.228856
CC11CM80,3.6881199999999996,3.20655,2.31617,0.8861389999999999,0.247006
CC11CM81,3.58239,3.05388,2.21057,0.885441,0.246507
CC11CM82,3.39184,2.92102,2.14316,0.855826,0.250204
CC11CM83,3.74095,3.1983099999999998,2.26589,0.9053200000000001,0.246158
CC11CM84,3.67484,3.15016,2.2517400000000003,0.890071,0.235221
CC11CM85,3.60144,3.04467,2.17792,0.901595,0.236887
CC11CM86,3.61511,3.09895,2.23395,0.848326,0.265831
CC11CM87,3.3408900000000004,2.84996,1.9905599999999999,0.782048,0.234198
CC11CM88,3.5236300000000003,3.05189,2.23792,0.8630059999999999,0.22842600000000002
CC11CM89,3.53191,3.00305,2.1741,0.912826,0.252533
CC11CM9,3.6130199999999997,3.11389,2.2259900000000004,0.903608,0.23650100000000002
CC11CM90,3.43278,2.9684,2.17137,0.830406,0.218342
CC11CM91,3.67125,3.1934,2.37348,0.9194260000000001,0.241761
CC11CM92,3.58185,3.10255,2.12425,0.856511,0.24259
CC11CM93,3.5085,2.95661,2.07255,0.796067,0.24324400000000002
CC11CM94,3.32634,2.82361,2.02773,0.807319,0.233531
CC11CM95,3.5844099999999997,3.06252,2.19163,0.862281,0.222816
CC11CM96,3.3812,2.88374,2.1451599999999997,0.814693,0.23336199999999999
CC11CM97,3.44555,2.98022,2.0640400000000003,0.8384450000000001,0.226027
CC11CM98,3.5118699999999996,2.98202,2.14962,0.8792559999999999,0.23279499999999997
CC11CM99,3.4382699999999997,2.9510099999999997,2.0735099999999997,0.854282,0.240882
